geohash_id	consumption_level	activity_level	date_id
4885e281g	42.69448	41.526474	20230404
4885e281g	62.86938	60.85987	20230405
4885e281g	52.87915	51.289417	20230406
4885e281g	62.876347	60.86654	20230407
5324516fr	59.549538	57.67762	20230404
5324516fr	62.69168	60.6888	20230405
5324516fr	-3.3984218	-3.3066344	20230406
5324516fr	62.860825	60.85162	20230407
7941bac5t	62.860573	60.85138	20230404
7941bac5t	47.954033	46.565178	20230405
7941bac5t	22.620502	22.070549	20230406
7941bac5t	62.728203	60.723812	20230407
94bf2e47u	62.833775	60.82566	20230404
94bf2e47u	62.658844	60.65709	20230405
94bf2e47u	62.847916	60.839195	20230406
94bf2e47u	59.797436	57.91044	20230407
651310f3v	62.89176	60.881504	20230404
651310f3v	62.865234	60.85588	20230405
651310f3v	51.61061	50.07386	20230406
651310f3v	62.889942	60.879734	20230407
5da786a8w	62.869812	60.860317	20230404
5da786a8w	62.89051	60.880287	20230405
5da786a8w	55.627457	53.90552	20230406
5da786a8w	41.961857	40.79766	20230407
9292842fy	62.811195	60.803734	20230404
9292842fy	45.167957	43.90111	20230405
9292842fy	62.867287	60.85786	20230406
9292842fy	62.892292	60.882008	20230407
abb13720z	9.309233	9.071353	20230404
abb13720z	62.294556	60.306778	20230405
abb13720z	62.75042	60.745274	20230406
abb13720z	62.235695	60.248993	20230407
babadee5r	62.886436	60.876358	20230404
babadee5r	62.886604	60.87652	20230405
babadee5r	58.265995	56.445923	20230406
babadee5r	62.87391	60.864304	20230407
c2382486x	62.855934	60.846935	20230404
c2382486x	62.827805	60.819725	20230405
c2382486x	55.23575	53.552097	20230406
c2382486x	61.987453	60.012657	20230407
6b9789f2z	62.885014	60.87496	20230404
6b9789f2z	62.885178	60.8751	20230405
6b9789f2z	61.909863	59.938255	20230406
6b9789f2z	62.862316	60.85305	20230407
b5dbab8e1	62.81484	60.807037	20230404
b5dbab8e1	62.885468	60.875374	20230405
b5dbab8e1	62.874557	60.864872	20230406
b5dbab8e1	62.876198	60.86646	20230407
dc36a53e3	1.9939319	1.9590521	20230404
dc36a53e3	62.77687	60.770786	20230405
dc36a53e3	3.1930318	3.1273463	20230406
dc36a53e3	10.86611	10.624102	20230407
66c0fb934	62.806248	60.799026	20230404
66c0fb934	62.84158	60.83302	20230405
